	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
123-13	123	2010_ca_123-001_fruit_C.jpg	13	.	.	139.662	83.252	51.3446	89.8848	42.8657	23.6304	27.1554	48.9705	35.9974	data normalized to color checker
123-14	123	2010_ca_123-001_fruit_C.jpg	14	.	.	135.385	93.8641	58.5082	91.2438	44.9607	15.4999	25.7707	58.9749	30.0728	data normalized to color checker
123-1	123	2010_ca_123_fruit_C.jpg	1	.	.	129.6423	69.3111	44.1085	81.765	38.2089	27.1203	25.0163	42.6891	36.8962	data normalized to color checker
123-2	123	2010_ca_123_fruit_C.jpg	2	.	.	130.8718	71.5922	44.7556	82.6481	38.8782	26.4005	25.541	44.052	36.7332	data normalized to color checker
123-3	123	2010_ca_123_fruit_C.jpg	3	.	.	128.281	71.6287	42.7342	80.4776	38.5	25.0139	26.0927	46.2093	36.1459	data normalized to color checker
123-4	123	2010_ca_123_fruit_C.jpg	4	.	.	128.4197	81.5958	47.4814	82.777	40.9302	19.0804	26.4505	54.1948	32.6143	data normalized to color checker
123-5	123	2010_ca_123_fruit_C.jpg	5	.	.	133.5078	85.8865	52.5824	87.5718	42.7038	19.2594	26.1307	53.6083	32.4613	data normalized to color checker
124-1	124	2010_ca_124_fruit_C.jpg	1	.	.	140.2302	69.295	45.6986	87.4955	39.8904	31.8923	26.6395	39.8719	41.5546	data normalized to color checker
124-2	124	2010_ca_124_fruit_C.jpg	2	.	.	137.623	64.1086	41.0966	84.1026	38.3204	33.5512	27.1409	38.9708	43.1545	data normalized to color checker
124-3	124	2010_ca_124_fruit_C.jpg	3	.	.	139.3947	55.7253	39.6086	84.2356	36.9192	39.0397	26.3907	34.0585	47.1229	data normalized to color checker
124-4	124	2010_ca_124_fruit_C.jpg	4	.	.	136.2989	71.2191	46.4356	85.9924	39.6921	29.1454	25.7877	41.5022	38.9161	data normalized to color checker
124-5	124	2010_ca_124_fruit_C.jpg	5	.	.	122.9983	49.3824	37.0988	75.3354	32.9269	35.6737	22.1705	31.8602	42.0017	data normalized to color checker
