Strain Id	Organization	Strain Type	Cultivation record	Sown seeds	Germinated　seeds	Total mutant	Total harvested seed	Plant Ontology ID	Germination rate(%)	Mutation rate(%)	First flowering date	First fruit harvesting date	Flower to fruit period	Growth Stage:Phenotype	link
TOMJPG3537	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（）		90	11.1	40266	40266		flowering : Flower morphology-Flower organ width	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1309
TOMJPG3561	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0			40	25	40266	40266		fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1310
TOMJPG3570	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0		SP:0000022,SP:0000054	60	16.7	40266	40266		leaf production : Leaf color-Yellow-green leaf, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1311
TOMJPG3574	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（）		80	12.5	40266	40266		- : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1312
TOMJPG3620	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0			50	33.3	40266	40266		- : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1313
TOMJPG3640	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（）		70	14.3	40266	40266		side shoot : -	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1314
TOMJPG3643	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	3ml（）	SP:0000021,SP:0000031	40	50	40266	40266		- : Plant size-Extremely small, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1315
TOMJPG4497	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000097	100	0	39615	39615		fruit : Fruit color-Epidermis	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=653
TOMJPG5091	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000071,SP:0000116	100	0	39615	39615		inflorescence : Inflorescence structure-Lots of flowers, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=654
TOMJPG5472	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000044	90	0	39615	39615		leaf production : Leaf morphology-Other leaf morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=655
TOMJPG5472	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0		SP:0000011,SP:0000141	50	100	39575	39688		fruit : Fruit morphology-Other fruit morphology, fruit : Sterility-Partial sterility	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=673
TOMJPG5655	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	M	SP:0000005,SP:0000021	90	0	39549	39601		leaf production : Leaf color-Other leaf color, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=675
TOMJPG5663	University of Tsukuba	gamma irradiation-induced mutant lines		5	0	0	L	SP:0000097	50	100	39437	39493		fruit : Fruit color-Epidermis	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=619
TOMJPG5750	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000101	100	0	39615	39615		fruit : Fruit size-Small fruit, leaf production : Leaf color-Other leaf color	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=656
TOMJPG5849	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000165	40	0	39437	39504			http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=620
TOMJPG6339	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000141,SP:0000165	90	0	39443	39499		fruit : Sterility-Partial sterility	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=621
TOMJPG6341	University of Tsukuba	gamma irradiation-induced mutant lines		3	0	0		SP:0000021,SP:0000165	100	100	39437	39588		- : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=623
TOMJPG6342	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000141	70	0	39437	39499		fruit : Fruit color-Orange fruit, fruit : Sterility-Partial sterility	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=622
TOMJPG6346	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			40	0	39615	39615		- : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=657
