		Tomato Analyzer - Shape Individual Data																																					
	SCT # 	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height  (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	sct#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
251-4	SCT_0167	251	2010_nc_251_fruit-t.jpg	4	42.6543	116.8385	13.208	13.462	9.3726	10.5918	0.7868	0.7096	0.9635	0.7962	1.2101	0.8066	0.9071	0.5716	0	0.136	224.6	161.5	0.2584	218.1	117.5	0.0138	0	0	0.2667	3.6995	0	18.0113	0.3645	0.7067	0.8909	0.8855	0.7067	0.4696	version 2
251-5	SCT_0167	251	2010_nc_251_fruit-t.jpg	5	42.5399	122.1972	13.1826	13.3096	10.5156	11.4554	0.8607	0.7977	0.9056	0.7649	1.1839	0.9097	0.9541	0.529	1.4913	0.067	182.5	140.3	0.1598	202.3	110.1	0.0063	0	0	0.2031	3.2311	0	15.1109	0.4213	0.7333	0.8895	0.8847	0.7971	0.4335	version 2
251-6	SCT_0167	251	2010_nc_251_fruit-t.jpg	6	36.6603	80.8947	10.6934	10.7696	8.5598	9.271	0.8608	0.8005	0.8884	0.8076	1.1	0.8916	0.9564	0.5415	0.596	0.0229	229.6	148.9	0.1764	169.9	119	0.0014	0	0	0.1483	4.456	0	9.3452	0.4619	0.8022	0.9832	0.8822	0.9012	0.4074	version 2
251-7	SCT_0167	251	2010_nc_251_fruit-t.jpg	7	40.4168	98.5604	11.7602	11.8364	9.4996	10.2108	0.8627	0.8078	0.9158	0.7905	1.1585	0.9202	0.96	0.5469	1.2448	0.0554	214.6	136.4	0.1235	176.9	117.7	0	0	0	0.1496	2.6683	0	11.4086	0.4795	0.818	0.9909	0.8841	0.9318	0.4064	version 2
251-8	SCT_0167	251	2010_nc_251_fruit-t.jpg	8	39.2588	102.5824	12.1158	12.2682	9.525	10.1854	0.8302	0.7862	0.9245	0.7945	1.1636	0.9272	0.9504	0.5481	1.1556	0.0501	189.7	149.7	0.0822	188.4	118.4	0.0055	0	0	0.2142	3.725	0	10.9751	0.4091	0.75	0.9009	0.8824	0.7979	0.4428	version 2
251-9	SCT_0167	251	2010_nc_251_fruit-t.jpg	9	36.7612	80.3095	10.541	10.6426	8.3566	9.2202	0.8663	0.7928	0.9133	0.8265	1.105	0.8885	0.9577	0.5741	1.1461	0.0501	176	138.2	0.1746	182.7	124.3	0.008	0	0	0.1749	3.7956	0	9.3301	0.4319	0.8232	1.0241	0.8896	0.9371	0.4021	version 2
251-10	SCT_0167	251	2010_nc_251_fruit-t.jpg	10	45.1313	121.9688	13.4112	13.4874	9.906	11.2014	0.8305	0.7386	0.8864	0.8106	1.0935	0.8969	0.9379	0.5414	1.8607	0.0864	236.1	141.2	0.1816	205.3	114.5	0.0232	0	0	0.1324	6.05	0	9.0642	0.4615	0.7273	0.884	0.9195	0.7843	0.4576	version 2
251-11	SCT_0167	251	2010_nc_251_fruit-t.jpg	11	43.2086	110.2637	12.5476	12.5476	9.652	10.7696	0.8583	0.7692	0.9028	0.8016	1.1263	0.8847	0.9537	0.5673	1.6554	0.0761	213.1	142.9	0.1972	358.9	118	0.0006	0	0	0.1327	2.5059	0	12.0974	0.5072	0.818	1.039	0.8759	0.9153	0.399	version 2
261-1	SCT_0168	261	2010_nc_261_fruit-t.jpg	1	37.6778	93.6637	10.5664	10.7442	9.9568	10.6426	0.9905	0.9423	0.9327	0.7957	1.1722	0.9226	0.9797	0.547	1.1852	0.0517	211.3	125.6	0.1033	179.3	97.9	0	0	0	0.206	3.1196	0	12.6398	0.4122	0.7464	0.8914	0.8839	0.9455	0.443	version 2
261-2	SCT_0168	261	2010_nc_261_fruit-t.jpg	2	45.6049	124.292	12.9286	13.3096	10.6172	11.6332	0.874	0.8212	0.9725	0.7741	1.2563	0.8523	0.9567	0.5434	1.3299	0.0589	214.1	148.8	0.1613	185.8	105.6	0.002	0	0	0.2088	7.1751	0	20.0937	0.4048	0.7309	0.8766	0.8954	0.8743	0.4799	version 2
