	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	 Lobedness Degree	 Pericarp Area	Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
142-6	142	2010_ca_142_fruit_C.jpg	6	0.6673	0.446	0.2519	
142-7	142	2010_ca_142_fruit_C.jpg	7	1.0332	0.4456	0.2542	
142-8	142	2010_ca_142_fruit_C.jpg	8	1.0425	0.4485	0.2545	
142-9	142	2010_ca_142_fruit_C.jpg	9	0.9687	0.4451	0.2542	
143-1	143	2010_ca_143_fruit_C.jpg	1	1.5005	0.4413	0.2517	
143-2	143	2010_ca_143_fruit_C.jpg	2	5.6432	0.4414	0.2357	
143-3	143	2010_ca_143_fruit_C.jpg	3	1.5657	0.4414	0.2508	
143-4	143	2010_ca_143_fruit_C.jpg	4	0.8397	0.4421	0.251	
143-5	143	2010_ca_143_fruit_C.jpg	5	1.5306	0.4391	0.2509	
144-1	144	2010_ca_144_fruit_C.jpg	1	1.5885	0.4438	0.2539	
144-2	144	2010_ca_144_fruit_C.jpg	2	1.3184	0.4424	0.2505	
144-3	144	2010_ca_144_fruit_C.jpg	3	1.5957	0.4414	0.25	
144-4	144	2010_ca_144_fruit_C.jpg	4	2.435	0.442	0.25	
144-5	144	2010_ca_144_fruit_C.jpg	5	1.6494	0.4413	0.2491	
145-6	145	2010_ca_145-001_fruit_C.jpg	6	1.334	0.4416	0.2518	
145-7	145	2010_ca_145-001_fruit_C.jpg	7	2.5167	0.4404	0.2512	
145-8	145	2010_ca_145-001_fruit_C.jpg	8	1.761	0.4414	0.2504	
145-1	145	2010_ca_145_fruit_C.jpg	1	1.4965	0.4426	0.2534	
145-2	145	2010_ca_145_fruit_C.jpg	2	1.296	0.4385	0.2537	
145-3	145	2010_ca_145_fruit_C.jpg	3	1.1865	0.4381	0.2526	
145-4	145	2010_ca_145_fruit_C.jpg	4	1.5579	0.4417	0.2482	
145-5	145	2010_ca_145_fruit_C.jpg	5	1.236	0.4287	0.2488	
146-1	146	2010_ca_146_fruit_C.jpg	1	1.452	0.4427	0.2522	
146-2	146	2010_ca_146_fruit_C.jpg	2	2.6168	0.4401	0.2479	
146-3	146	2010_ca_146_fruit_C.jpg	3	2.4507	0.4422	0.2456	
146-4	146	2010_ca_146_fruit_C.jpg	4	1.4177	0.4355	0.25	
146-5	146	2010_ca_146_fruit_C.jpg	5	1.4651	0.442	0.2495	
147-1	147	2010_ca_147_fruit_C.jpg	1	2.9432	0.4477	0.2542	
147-10	147	2010_ca_147_fruit_C.jpg	10	1.9264	0.4458	0.2535	
147-2	147	2010_ca_147_fruit_C.jpg	2	1.4831	0.4474	0.2521	
147-3	147	2010_ca_147_fruit_C.jpg	3	0.9361	0.4476	0.2522	
147-4	147	2010_ca_147_fruit_C.jpg	4	1.4836	0.4468	0.2519	
147-5	147	2010_ca_147_fruit_C.jpg	5	1.7692	0.4457	0.2467	
147-6	147	2010_ca_147_fruit_C.jpg	6	1.24	0.4484	0.2532	
147-7	147	2010_ca_147_fruit_C.jpg	7	1.3957	0.4479	0.2511	
147-8	147	2010_ca_147_fruit_C.jpg	8	2.0615	0.4494	0.2526	
147-9	147	2010_ca_147_fruit_C.jpg	9	2.0719	0.4472	0.252	
148-1	148	2010_ca_148_fruit_C.jpg	1	2.044	0.4421	0.25	
148-10	148	2010_ca_148_fruit_C.jpg	10	1.4048	0.4432	0.25	
148-2	148	2010_ca_148_fruit_C.jpg	2	1.5684	0.4419	0.2491	
148-3	148	2010_ca_148_fruit_C.jpg	3	2.1265	0.4417	0.2453	
148-4	148	2010_ca_148_fruit_C.jpg	4	2.3275	0.4402	0.2515	
148-5	148	2010_ca_148_fruit_C.jpg	5	2.2359	0.4421	0.2495	
148-6	148	2010_ca_148_fruit_C.jpg	6	2.243	0.443	0.2519	
148-7	148	2010_ca_148_fruit_C.jpg	7	2.6153	0.4391	0.2491	
148-8	148	2010_ca_148_fruit_C.jpg	8	1.2549	0.4427	0.2522	
148-9	148	2010_ca_148_fruit_C.jpg	9	1.2184	0.4421	0.2555	
149-1	149	2010_ca_149_fruit_C.jpg	1	3.7771	0.441	0.2425	
149-2	149	2010_ca_149_fruit_C.jpg	2	1.3932	0.442	0.25	
149-3	149	2010_ca_149_fruit_C.jpg	3	3.285	0.4402	0.2504	
149-4	149	2010_ca_149_fruit_C.jpg	4	2.8663	0.4405	0.2479	
149-5	149	2010_ca_149_fruit_C.jpg	5	1.9548	0.4404	0.2511	
150-1	150	2010_ca_150_fruit_C.jpg	1	1.3083	0.4485	0.2535	
150-10	150	2010_ca_150_fruit_C.jpg	10	0.8277	0.4486	0.257	
150-11	150	2010_ca_150_fruit_C.jpg	11	1.7221	0.4494	0.2541	
150-12	150	2010_ca_150_fruit_C.jpg	12	1.4803	0.4492	0.2549	
150-13	150	2010_ca_150_fruit_C.jpg	13	1.2752	0.4494	0.2586	
150-2	150	2010_ca_150_fruit_C.jpg	2	0.8326	0.4468	0.2539	
150-3	150	2010_ca_150_fruit_C.jpg	3	1.107	0.447	0.2551	
150-4	150	2010_ca_150_fruit_C.jpg	4	1.4062	0.448	0.2546	
150-5	150	2010_ca_150_fruit_C.jpg	5	1.252	0.448	0.2533	
150-6	150	2010_ca_150_fruit_C.jpg	6	0.5784	0.4478	0.2555	
150-7	150	2010_ca_150_fruit_C.jpg	7	1.5946	0.4495	0.2562	
