	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095	SP:0000372	
595-5	595	2010_ca_11595_fruit_C.jpg	5	1.3107	0.4448	0.2515	
596-1	596	2010_ca_11596_fruit_C.jpg	1	3.1597	0.4446	0.2524	
596-2	596	2010_ca_11596_fruit_C.jpg	2	2.2314	0.4441	0.2522	
596-3	596	2010_ca_11596_fruit_C.jpg	3	1.218	0.4449	0.2524	
596-4	596	2010_ca_11596_fruit_C.jpg	4	1.897	0.4466	0.249	
596-5	596	2010_ca_11596_fruit_C.jpg	5	2.3285	0.4444	0.2529	
597-1	597	2010_ca_11597_fruit_C.jpg	1	2.0651	0.4446	0.2523	
597-2	597	2010_ca_11597_fruit_C.jpg	2	1.4473	0.4443	0.2515	
597-3	597	2010_ca_11597_fruit_C.jpg	3	2.9454	0.4444	0.2521	
597-4	597	2010_ca_11597_fruit_C.jpg	4	2.0574	0.4447	0.2538	
597-5	597	2010_ca_11597_fruit_C.jpg	5	0.9396	0.4447	0.2558	
598-1	598	2010_ca_11598_fruit_C.jpg	1	2.026	0.445	0.2541	
598-2	598	2010_ca_11598_fruit_C.jpg	2	1.4781	0.4456	0.255	
598-3	598	2010_ca_11598_fruit_C.jpg	3	0.8784	0.4437	0.2487	
598-4	598	2010_ca_11598_fruit_C.jpg	4	2.1993	0.4455	0.2541	
598-5	598	2010_ca_11598_fruit_C.jpg	5	0.9314	0.4454	0.2573	
599-1	599	2010_ca_11599_fruit_C.jpg	1	1.8139	0.4447	0.2516	
599-2	599	2010_ca_11599_fruit_C.jpg	2	1.55	0.4465	0.2555	
599-3	599	2010_ca_11599_fruit_C.jpg	3	1.4851	0.4439	0.2537	
599-4	599	2010_ca_11599_fruit_C.jpg	4	1.1402	0.4446	0.2515	
599-5	599	2010_ca_11599_fruit_C.jpg	5	1.2633	0.446	0.2535	
600-1	600	2010_ca_11600_fruit_C.jpg	1	1.2307	0.4431	0.2506	
600-2	600	2010_ca_11600_fruit_C.jpg	2	0.9712	0.4443	0.2536	
600-3	600	2010_ca_11600_fruit_C.jpg	3	1.6449	0.4434	0.2518	
600-4	600	2010_ca_11600_fruit_C.jpg	4	1.0102	0.4432	0.2482	
600-5	600	2010_ca_11600_fruit_C.jpg	5	1.2642	0.444	0.2514	
601-1	601	2010_ca_11601_fruit_C.jpg	1	2.647	0.4441	0.2472	
601-2	601	2010_ca_11601_fruit_C.jpg	2	2.7625	0.4453	0.2525	
601-3	601	2010_ca_11601_fruit_C.jpg	3	2.1586	0.4449	0.2492	
601-4	601	2010_ca_11601_fruit_C.jpg	4	1.0493	0.4432	0.2494	
601-5	601	2010_ca_11601_fruit_C.jpg	5	2.2054	0.4444	0.2521	
602-1	602	2010_ca_11602_fruit_C.jpg	1	1.7476	0.4428	0.2519	
602-2	602	2010_ca_11602_fruit_C.jpg	2	1.2528	0.4434	0.2494	
602-3	602	2010_ca_11602_fruit_C.jpg	3	1.0512	0.4442	0.2521	
602-4	602	2010_ca_11602_fruit_C.jpg	4	2.1872	0.439	0.2486	
602-5	602	2010_ca_11602_fruit_C.jpg	5	1.0491	0.4433	0.2525	
603-1	603	2010_ca_11603_fruit_C.jpg	1	1.3055	0.4438	0.2507	
603-2	603	2010_ca_11603_fruit_C.jpg	2	1.6446	0.4457	0.2509	
603-3	603	2010_ca_11603_fruit_C.jpg	3	2.0887	0.4435	0.2507	
603-4	603	2010_ca_11603_fruit_C.jpg	4	1.611	0.4448	0.2538	
